ID	PEER1	PEER2	PEER3	PEER4	PEER5	PEER6	PEER7	PEER8
SAMPLE11	0.771020591259003	-0.218013674020767	-0.873515784740448	0.35507994890213	-0.418395012617111	-0.383300125598907	0.951982498168945	0.227886244654655
SAMPLE12	-0.362263232469559	-1.51567101478577	0.565386235713959	0.303075730800629	1.55200862884521	-0.905170381069183	1.83594918251038	0.984563291072845
SAMPLE13	-1.72555351257324	-0.13499154150486	-0.92980694770813	-1.86892008781433	-1.06347405910492	0.216738253831863	-1.00819790363312	0.0233681779354811
SAMPLE14	1.01438510417938	1.26809227466583	-0.961005628108978	1.19188976287842	0.307887941598892	-1.11153197288513	1.31890201568604	-0.578417003154755
SAMPLE15	0.348212510347366	1.3257817029953	-1.75385057926178	0.432788193225861	-1.32798218727112	1.77145779132843	-0.164718121290207	1.48581790924072
SAMPLE16	-0.0147229135036469	-0.739412128925323	1.74600517749786	1.57490241527557	0.405121654272079	-0.487921357154846	0.802299201488495	-1.63967180252075
SAMPLE17	0.102158680558205	2.06083488464355	0.752591907978058	0.838142931461334	-0.11397048830986	-0.281660169363022	-0.659216523170471	-0.314342945814133
SAMPLE18	0.549627065658569	-0.325633525848389	0.126436933875084	2.14509129524231	2.36779618263245	-0.068529300391674	-0.842556536197662	0.664202213287354
SAMPLE19	1.58277428150177	0.539279878139496	-0.913803696632385	0.810511708259583	-0.867619216442108	-1.71181702613831	-0.410325735807419	-0.425773173570633
SAMPLE110	-1.56856095790863	-0.360962301492691	0.958251714706421	1.19138312339783	-1.02737617492676	0.968668222427368	1.06023788452148	-0.16979044675827
SAMPLE111	1.19496059417725	-0.327616453170776	0.349311858415604	-0.559186339378357	0.52437549829483	0.914516866207123	0.413120299577713	0.160814315080643
SAMPLE112	-0.634841442108154	1.75652921199799	0.817591965198517	-1.00975656509399	0.648735105991364	-0.392550408840179	-0.283436566591263	0.355305075645447
SAMPLE113	1.00553500652313	-0.194798320531845	0.891230762004852	0.797366619110107	-0.58831512928009	-0.810433864593506	1.07593965530396	0.772938907146454
SAMPLE114	0.761727690696716	1.05777359008789	0.216019853949547	1.17362713813782	-0.457098603248596	-0.224393770098686	1.25804686546326	0.371987521648407
SAMPLE115	-0.874229490756989	-1.87077414989471	1.31911635398865	-0.579812347888947	-0.560944080352783	0.422109574079514	-1.24691522121429	0.255068749189377
SAMPLE116	0.231091141700745	0.881371259689331	-1.23356056213379	-0.56237006187439	0.463100522756577	0.0602686479687691	-0.120925322175026	0.612961053848267
SAMPLE117	0.0909293070435524	-0.582391798496246	-1.11557197570801	-1.36033487319946	-1.94934630393982	0.220500290393829	0.852106213569641	-0.330786287784576
SAMPLE118	0.26237428188324	-0.603962421417236	1.24710297584534	0.35147225856781	0.864319980144501	-0.28914001584053	-1.24132561683655	0.0417177081108093
