MarkerName	Weight	Zscore	P-value	Direction
P16871	300	1.4408506613802086	0.1496268773830281	+?
P22079	300	2.0532439281793295	0.0400489259822835	+?
P34925	200	1.3119211695399438	0.1895467339304797	?+
P09496	500	1.0803747917579138	0.2799753165624357	+-
Q8TDB6	200	2.2626648684596398	0.0236563560440848	?+
O00292	300	4.377352044873005	1.2012985509886274e-05	+?
Q9Y6H5	200	-1.4421979222796306	0.1492465465702967	?-
P19484	200	0.25933650317092777	0.7953756170914756	?+
P10912	300	7.171046618324226	7.442655240083042e-13	+?
P50454	300	2.3990147667652315	0.0164392517254903	+?
Q6P656	200	0.2491317966671318	0.8032588345158918	?+
O15156	200	-0.6912620857701297	0.4894008536024419	?-
Q9H9P5	200	1.8684557474811136	0.0616985728364722	?+
Q15544	200	0.6527311047553671	0.5139296460500686	?+
O75521	500	1.8228977665246662	0.0683188762743996	++
A1Z1Q3	200	-0.3252861161960512	0.7449645376784029	?-
P17301	300	2.1972302736988736	0.0280040045244344	+?
Q7Z7B0	200	-0.12041974062511497	0.9041506544309406	?-
Q5THK1	200	0.7033044409316014	0.4818660437217059	?+
Q9Y4R8	200	-2.773474765283104	0.00554611415961	?-
O60232	300	1.4889304960502219	0.1365056720731128	+?
P49763	300	0.625659703978067	0.5315381691854315	+?
A6NK59	200	-1.0775348992768203	0.2812413682063459	?-
Q7L2K0	200	0.2709061856328268	0.7864631874241317	?+
Q92979	200	-1.5145283616883916	0.1298918861244813	?-
Q96DN0	200	0.07896702664926944	0.9370588500573204	?+
P28356	200	0.3480949485263405	0.7277688778818062	?+
P63267	200	2.7366119713793093	0.006207546551711	?+
Q9P2E7	200	-0.05032300533305858	0.9598649913878964	?-
A6BM72	500	-0.2763061297960617	0.7823129482207949	-+
P15529	300	0.9871400981464789	0.3235739627054341	+?
O75717	200	0.5173635496979014	0.6049023995295029	?+
Q9NQI0	200	1.0097765952368156	0.3126023358305237	?+
Q68CZ1	200	1.375105709316888	0.1690986746029805	?+
Q6DT37	200	1.9216066446742037	0.0546552718778761	?+
Q96N21	200	0.24535548809983324	0.8061811911086982	?+
Q9NRH3	200	1.6189551701973577	0.1054569090594634	?+
O43716	200	-0.1468432306652317	0.8832557613840462	?-
O43543	200	-0.5378065899375684	0.5907105819446892	?-
Q9Y215	200	-0.7080997453295732	0.4788833177650012	?-
Q96KJ4	200	-0.398210056225753	0.6904753538374924	?-
P00750	300	2.883388959022976	0.0039342132464476	+?
O43583	500	0.9045714551306251	0.36569246335571537	++
P00736	300	2.237631947483429	0.0252450664164932	+?
P19438	300	2.221798334590328	0.026296937336833	+?
P35968	300	5.055340578627011	4.2962338110150323e-07	+?
O14960	300	3.2256879105482232	0.0012567030950835	+?
P22307	300	1.8582033786768268	0.0631401384074935	+?
Q76NI1	200	0.7927359560841465	0.4279316768069114	?+
O75362	200	-0.4894316559842159	0.6245361291057603	?-
Q9P289	200	-0.8943658718946901	0.3711261662105967	?-
P04234	500	-0.8458419819451782	0.39764090193002744	-+
P02748	300	-5.119229926225336	3.0678575488573813e-07	-?
P06850	500	-1.603838477812793	0.10874966068634591	--
P37837	300	1.786933875487452	0.0739481765821245	+?
O75121	500	1.436151777226171	0.1509591574607841	++
P40123	200	1.0188941217619294	0.3082532346848732	?+
Q8TEY7	200	0.33454709000292104	0.737966763065182	?+
Q5VYK3	200	0.5938008757309632	0.5526453032671198	?+
P16860	500	-2.361358450255491	0.018208121530944237	--
Q7Z7A1	200	0.05978719210000008	0.9523251265522644	?+
Q99707	200	-0.21098962888473938	0.8328953641472214	?-
O96000	200	1.0972904477157326	0.2725144452615453	?+
O43320	300	1.3773217851991768	0.1684127827398346	+?
P83436	200	-0.2006679148687602	0.8409582495894554	?-
Q8N9N5	200	-0.09023863943427166	0.9280975797354571	?-
P13224	300	0.037760576065728045	0.96987857768093	+?
P14151	300	-0.810378318875295	0.4177227749042502	-?
Q5VWP3	200	1.3527196983724707	0.1761451949681375	?+
Q9NRG1	200	0.9318878161000294	0.3513945048687468	?+
P20309	200	-0.4617825346148968	0.6442372768614494	?-
O00206	300	0.3313175306857459	0.7404046508267845	+?
Q8N9T8	200	-2.2282471070594014	0.0258640413362373	?-
Q8TD31	200	1.7437157285769964	0.0812086713499236	?+
Q5VVJ2	200	-0.04320163203207756	0.9655408041315175	?-
Q5MJ10	200	-0.4231818076482276	0.672162618902969	?-
P23435	500	-1.0776680851770413	0.281181905932541	--
P24928	300	-0.7726156542734783	0.4397498772080829	-?
Q14055	200	-1.2775502110816053	0.2014080654684534	?-
P02654	300	6.5839277675747185	4.58179784659578e-11	+?
P34998	500	-0.52618228071543	0.5987615641652426	--
P21980	300	2.4784974169249248	0.013193706644424	+?
O00299	200	0.8169218718652344	0.413973077689023	?+
Q9BQ95	200	1.108172861535363	0.2677871687918597	?+
Q86W24	200	2.034143744731025	0.0419371045144327	?+
O60664	300	0.17114663666817623	0.8641084660493001	+?
P62760	300	4.188911700397438	2.802954284581022e-05	+?
P08217	300	2.1303029178636113	0.0331466128194893	+?
O75563	300	1.0718550618563707	0.2837851371420631	+?
Q5TBC7	200	-0.7658685232676844	0.4437545366982699	?-
Q96EK7	200	1.2738480879081049	0.2027172590111572	?+
Q86XD5	200	0.4240818506125051	0.6715061212250963	?+
Q9NQ66	200	1.7798710080753721	0.0750970733653025	?+
Q9BTN0	200	1.0837309602718732	0.2784841041117217	?+
Q96JZ2	200	0.8717756749910631	0.3833307672709066	?+
P28290	200	1.2385713184028087	0.2155042953023276	?+
Q5JPI9	200	-0.970203919786084	0.3319448572807316	?-
Q5JPB2	200	0.7930199332351215	0.4277662093220941	?+
P14649	500	-1.6416629280499402	0.10065987851407085	--
P15531	500	0.7687624163074861	0.4420343640597778	-+
P48304	300	0.9468829694033063	0.3436984170545618	+?
Q5VXI9	200	-0.008550102963678363	0.99317808797058	?-
Q9Y547	200	0.6011450377852354	0.5477433882210028	?+
Q6EBC2	200	0.2372007293592405	0.8125010705128389	?+
P37840	300	1.2826883751816418	0.1996012742142314	+?
Q9Y458	200	-0.007089040954833211	0.9943438110461053	?-
Q9UKS7	200	-0.11982752826243986	0.9046197746566872	?-
Q9UKA4	200	0.5813020581134348	0.5610368937496548	?+
P04217	300	4.125142429516435	3.705053975653959e-05	+?
P31948	300	1.3570170276179276	0.1747758001907919	+?
Q07812	200	0.06464710572496037	0.9484549781801545	?+
Q5CZC0	200	-0.9109905644920605	0.3623003452245062	?-
Q9Y2G4	200	0.5119714778550637	0.608670971452496	?+
Q8N6P7	200	1.920779247680212	0.0547595438056413	?+
Q9H492	200	-0.360234031156846	0.7186721274748916	?-
Q93070	200	1.2777241106537125	0.2013467208007409	?+
O95260	200	0.7450643618665408	0.4562328121325918	?+
P35813	500	0.25983688524370413	0.7949895975615352	-+
Q6NXP0	200	-1.857002110585373	0.0633108538065522	?-
A6NEE1	200	0.29727637711297944	0.7662555152035972	?+
Q13224	200	0.3096396462818178	0.7568350036179788	?+
Q9P2P5	200	1.0049687371236857	0.3149119038524299	?+
P08236	300	6.2494352837565215	4.1193938339630816e-10	+?
Q13480	200	1.601070862481264	0.1093612249246981	?+
P08833	300	-2.5280411364414026	0.0114700911852586	-?
Q8NI77	200	0.9912977160088174	0.3215402279375333	?+
P18887	200	-1.0227852945668763	0.3064093724295307	?-
P48668	300	-1.7176254939427018	0.0858649471487508	-?
P11049	200	1.2445328920250192	0.2133035015078024	?+
Q9NYV4	200	0.6766860777807282	0.4986051516367394	?+
O00592	300	0.3400835010379505	0.7337936463329565	+?
O60884	300	1.3228122412266545	0.185897825341339	+?
Q8IZJ0	200	1.7273286486060946	0.084108656869535	?+
Q6ZSG2	200	-0.47238962568802506	0.6366487079404195	?-
